RUN	pokemonapi.RefulTask	refultask	1720829203000	 	3.11.3
REQUEST		POST task	1720829213508	1720829214271	OK	 
REQUEST		GET task	1720829214055	1720829214297	OK	 
REQUEST		GET task	1720829214058	1720829214297	OK	 
USER	Task API Test	END	1720829214298
USER	Task API Test	END	1720829214299
USER	Task API Test	START	1720829214300
USER	Task API Test	START	1720829214301
REQUEST		PUT task	1720829214091	1720829214369	OK	 
REQUEST		POST task	1720829214109	1720829214391	OK	 
REQUEST		PUT task	1720829214183	1720829214442	OK	 
REQUEST		GET task	1720829214222	1720829214467	OK	 
USER	Task API Test	END	1720829214468
USER	Task API Test	START	1720829214469
REQUEST		POST task	1720829213714	1720829214486	OK	 
REQUEST		PUT task	1720829214271	1720829214554	OK	 
REQUEST		PUT task	1720829214270	1720829214554	OK	 
REQUEST		POST task	1720829214300	1720829214563	OK	 
REQUEST		POST task	1720829214300	1720829214567	OK	 
REQUEST		GET task	1720829214370	1720829214605	OK	 
USER	Task API Test	END	1720829214606
USER	Task API Test	START	1720829214607
REQUEST		GET task	1720829214443	1720829214680	OK	 
USER	Task API Test	END	1720829214681
USER	Task API Test	START	1720829214682
REQUEST		POST task	1720829214469	1720829214731	OK	 
REQUEST		PUT task	1720829214487	1720829214772	OK	 
REQUEST		GET task	1720829214555	1720829214792	OK	 
USER	Task API Test	END	1720829214793
USER	Task API Test	START	1720829214794
REQUEST		GET task	1720829214555	1720829214795	OK	 
USER	Task API Test	END	1720829214795
USER	Task API Test	START	1720829214796
REQUEST		PUT task	1720829214564	1720829214804	KO	status.find.is(200), but actually found 405
REQUEST		PUT task	1720829214568	1720829214849	KO	status.find.is(200), but actually found 405
REQUEST		POST task	1720829214607	1720829214861	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720829214864
ERROR	GET task: No attribute named 'thiis' is defined 	1720829214864
USER	Task API Test	END	1720829214864
USER	Task API Test	START	1720829214865
REQUEST		POST task	1720829214682	1720829214944	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720829214945
ERROR	GET task: No attribute named 'thiis' is defined 	1720829214945
USER	Task API Test	END	1720829214946
USER	Task API Test	START	1720829214947
REQUEST		GET task	1720829214773	1720829215009	KO	status.find.is(200), but actually found 405
USER	Task API Test	END	1720829215011
USER	Task API Test	START	1720829215011
REQUEST		GET task	1720829214246	1720829215046	KO	status.find.is(200), but actually found 405
USER	Task API Test	END	1720829215047
USER	Task API Test	START	1720829215048
REQUEST		POST task	1720829214796	1720829215057	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720829215058
ERROR	GET task: No attribute named 'thiis' is defined 	1720829215058
USER	Task API Test	END	1720829215059
USER	Task API Test	START	1720829215060
REQUEST		GET task	1720829214821	1720829215061	KO	status.find.is(200), but actually found 405
USER	Task API Test	END	1720829215062
USER	Task API Test	START	1720829215062
REQUEST		POST task	1720829214793	1720829215072	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720829215072
ERROR	GET task: No attribute named 'thiis' is defined 	1720829215072
USER	Task API Test	END	1720829215073
USER	Task API Test	START	1720829215073
REQUEST		GET task	1720829214851	1720829215085	KO	status.find.is(200), but actually found 405
USER	Task API Test	END	1720829215086
USER	Task API Test	START	1720829215087
REQUEST		POST task	1720829214865	1720829215120	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720829215121
ERROR	GET task: No attribute named 'thiis' is defined 	1720829215121
USER	Task API Test	END	1720829215122
USER	Task API Test	START	1720829215123
REQUEST		PUT task	1720829214392	1720829215163	KO	status.find.is(200), but actually found 405
REQUEST		POST task	1720829214946	1720829215205	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720829215206
ERROR	GET task: No attribute named 'thiis' is defined 	1720829215206
USER	Task API Test	END	1720829215207
USER	Task API Test	START	1720829215208
REQUEST		POST task	1720829215011	1720829215279	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720829215280
ERROR	GET task: No attribute named 'thiis' is defined 	1720829215280
USER	Task API Test	END	1720829215281
USER	Task API Test	START	1720829215282
REQUEST		POST task	1720829215047	1720829215297	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720829215298
ERROR	GET task: No attribute named 'thiis' is defined 	1720829215298
USER	Task API Test	END	1720829215298
USER	Task API Test	START	1720829215299
REQUEST		POST task	1720829215059	1720829215325	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720829215326
ERROR	GET task: No attribute named 'thiis' is defined 	1720829215326
USER	Task API Test	END	1720829215326
REQUEST		POST task	1720829215073	1720829215326	KO	status.find.is(200), but actually found 405
USER	Task API Test	START	1720829215327
ERROR	PUT task: No attribute named 'thiis' is defined 	1720829215327
ERROR	GET task: No attribute named 'thiis' is defined 	1720829215327
USER	Task API Test	END	1720829215328
USER	Task API Test	START	1720829215328
REQUEST		POST task	1720829215086	1720829215351	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720829215352
ERROR	GET task: No attribute named 'thiis' is defined 	1720829215352
USER	Task API Test	END	1720829215352
USER	Task API Test	START	1720829215353
REQUEST		POST task	1720829215062	1720829215359	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720829215359
ERROR	GET task: No attribute named 'thiis' is defined 	1720829215359
USER	Task API Test	END	1720829215360
USER	Task API Test	START	1720829215360
REQUEST		POST task	1720829215122	1720829215385	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720829215386
ERROR	GET task: No attribute named 'thiis' is defined 	1720829215386
USER	Task API Test	END	1720829215386
USER	Task API Test	START	1720829215387
REQUEST		GET task	1720829215164	1720829215409	KO	status.find.is(200), but actually found 405
USER	Task API Test	END	1720829215410
USER	Task API Test	START	1720829215411
REQUEST		POST task	1720829215208	1720829215470	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720829215472
ERROR	GET task: No attribute named 'thiis' is defined 	1720829215472
USER	Task API Test	END	1720829215472
USER	Task API Test	START	1720829215473
REQUEST		PUT task	1720829214732	1720829215517	KO	status.find.is(200), but actually found 405
REQUEST		POST task	1720829215281	1720829215537	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720829215538
ERROR	GET task: No attribute named 'thiis' is defined 	1720829215538
USER	Task API Test	END	1720829215538
USER	Task API Test	START	1720829215539
REQUEST		POST task	1720829215299	1720829215564	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720829215565
ERROR	GET task: No attribute named 'thiis' is defined 	1720829215565
USER	Task API Test	END	1720829215566
USER	Task API Test	START	1720829215566
REQUEST		POST task	1720829215327	1720829215596	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720829215597
ERROR	GET task: No attribute named 'thiis' is defined 	1720829215597
USER	Task API Test	END	1720829215598
USER	Task API Test	START	1720829215598
REQUEST		POST task	1720829215360	1720829215626	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720829215627
ERROR	GET task: No attribute named 'thiis' is defined 	1720829215627
USER	Task API Test	END	1720829215627
USER	Task API Test	START	1720829215628
REQUEST		POST task	1720829215353	1720829215629	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720829215630
ERROR	GET task: No attribute named 'thiis' is defined 	1720829215630
USER	Task API Test	END	1720829215630
USER	Task API Test	START	1720829215631
REQUEST		POST task	1720829215387	1720829215653	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720829215654
ERROR	GET task: No attribute named 'thiis' is defined 	1720829215654
USER	Task API Test	END	1720829215655
USER	Task API Test	START	1720829215656
REQUEST		POST task	1720829215411	1720829215669	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720829215669
ERROR	GET task: No attribute named 'thiis' is defined 	1720829215669
USER	Task API Test	END	1720829215670
USER	Task API Test	START	1720829215670
REQUEST		POST task	1720829215473	1720829215733	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720829215734
ERROR	GET task: No attribute named 'thiis' is defined 	1720829215734
USER	Task API Test	END	1720829215734
USER	Task API Test	START	1720829215735
REQUEST		GET task	1720829215518	1720829215753	KO	status.find.is(200), but actually found 405
USER	Task API Test	END	1720829215754
USER	Task API Test	START	1720829215755
REQUEST		POST task	1720829215539	1720829215794	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720829215795
ERROR	GET task: No attribute named 'thiis' is defined 	1720829215796
USER	Task API Test	END	1720829215796
USER	Task API Test	START	1720829215797
REQUEST		POST task	1720829215566	1720829215839	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720829215839
ERROR	GET task: No attribute named 'thiis' is defined 	1720829215840
USER	Task API Test	END	1720829215840
USER	Task API Test	START	1720829215841
REQUEST		POST task	1720829215598	1720829215864	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720829215865
ERROR	GET task: No attribute named 'thiis' is defined 	1720829215865
USER	Task API Test	END	1720829215865
USER	Task API Test	START	1720829215866
REQUEST		POST task	1720829215627	1720829215891	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720829215892
ERROR	GET task: No attribute named 'thiis' is defined 	1720829215892
USER	Task API Test	END	1720829215892
USER	Task API Test	START	1720829215893
REQUEST		POST task	1720829215631	1720829215893	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720829215894
ERROR	GET task: No attribute named 'thiis' is defined 	1720829215894
USER	Task API Test	END	1720829215894
USER	Task API Test	START	1720829215895
REQUEST		POST task	1720829215655	1720829215915	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720829215916
ERROR	GET task: No attribute named 'thiis' is defined 	1720829215916
USER	Task API Test	END	1720829215917
USER	Task API Test	START	1720829215917
REQUEST		POST task	1720829215670	1720829215929	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720829215929
ERROR	GET task: No attribute named 'thiis' is defined 	1720829215929
USER	Task API Test	END	1720829215930
USER	Task API Test	START	1720829215930
REQUEST		POST task	1720829215735	1720829216010	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720829216011
ERROR	GET task: No attribute named 'thiis' is defined 	1720829216011
USER	Task API Test	END	1720829216011
USER	Task API Test	START	1720829216012
REQUEST		POST task	1720829215796	1720829216058	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720829216059
ERROR	GET task: No attribute named 'thiis' is defined 	1720829216059
USER	Task API Test	END	1720829216059
USER	Task API Test	START	1720829216060
REQUEST		POST task	1720829215754	1720829216080	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720829216080
ERROR	GET task: No attribute named 'thiis' is defined 	1720829216080
USER	Task API Test	END	1720829216081
USER	Task API Test	START	1720829216081
REQUEST		POST task	1720829215328	1720829216097	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720829216097
ERROR	GET task: No attribute named 'thiis' is defined 	1720829216098
USER	Task API Test	END	1720829216098
USER	Task API Test	START	1720829216099
REQUEST		POST task	1720829215840	1720829216103	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720829216104
ERROR	GET task: No attribute named 'thiis' is defined 	1720829216104
USER	Task API Test	END	1720829216104
USER	Task API Test	START	1720829216105
REQUEST		POST task	1720829215893	1720829216153	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720829216154
ERROR	GET task: No attribute named 'thiis' is defined 	1720829216154
USER	Task API Test	END	1720829216154
USER	Task API Test	START	1720829216155
REQUEST		POST task	1720829215895	1720829216157	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720829216157
ERROR	GET task: No attribute named 'thiis' is defined 	1720829216157
USER	Task API Test	END	1720829216158
USER	Task API Test	START	1720829216158
REQUEST		POST task	1720829215866	1720829216164	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720829216165
ERROR	GET task: No attribute named 'thiis' is defined 	1720829216165
USER	Task API Test	END	1720829216165
USER	Task API Test	START	1720829216166
REQUEST		POST task	1720829215917	1720829216178	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720829216179
ERROR	GET task: No attribute named 'thiis' is defined 	1720829216179
USER	Task API Test	END	1720829216179
USER	Task API Test	START	1720829216180
REQUEST		POST task	1720829216012	1720829216273	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720829216274
ERROR	GET task: No attribute named 'thiis' is defined 	1720829216274
USER	Task API Test	END	1720829216275
USER	Task API Test	START	1720829216276
REQUEST		POST task	1720829216060	1720829216320	KO	status.find.is(200), but actually found 405
ERROR	PUT task: No attribute named 'thiis' is defined 	1720829216321
ERROR	GET task: No attribute named 'thiis' is defined 	1720829216321
USER	Task API Test	END	1720829216322
USER	Task API Test	START	1720829216322
